name,Description
20-21,FTP
22,SSH
23,Telnet
25,SMTP
42,WINS
53,DNS
80 & 8080,HTTP
88,Kerberos
110,POP3
111,PortMapper-Linux
123,NTP
135,RPC-DCOM
139,SMB
143,IMAP
161 & 162,SNMP
389,LDAP
445,CIFS
514,Syslog
636,Secure LDAP
1080,Socks5
1241,Nessus Server
1433 & 1434,SQL Server
1494 & 2598, Citrix Applications
1521, Oracle Listener
2512 & 2513,Citrix Management
3389,RDP
6662-6667,IRC
