name,description
Nonrepudiation,provide positive identification of the source originator
PKI, Public Key Infrastructure
Public key Infrastructure, is a trusted source of tickets can be within an network or over the internet
SHA,Secure Hash Algorithm
PGP,Pretty good privacy
WEP,Wired Equivilent Protection
